n,k,f_closed,f_open,f_multiset,f_set
1,1,4,4,4,4
1,2,16,12,10,6
1,3,64,28,20,4
1,4,256,60,35,1
1,5,1024,124,56,0
1,6,4096,252,84,0
1,7,16384,508,120,0
1,8,65536,1020,165,0
2,1,76,76,76,76
2,2,5420,3684,2748,2672
2,3,312388,129172,54800,49380
2,4,16370444,3911556,762702,606470
2,5,831232516,109987156,8384528,5651604
2,6,42192836300,2970558084,77950824,43120868
2,7,2170811364868,78420437332,637872188,281486712
2,8,113686859002124,2043199365636,4707338077,1611304515
3,1,516,516,516,516
3,2,226972,167644,113744,113228
3,3,69489756,38963748,11695284,11468312
3,4,18659667436,7896396652,794962740,760217604
3,5,4734795280476,1498219281636,41031962144,37921828428
3,6,1166804075791372,274111713364684,1721427464136,1524100896180
3,7,282576739745247036,49033837794444228,61095643376712,51366833516568
3,8,67674751566025835116,8637943603694627692,1884226652104274,1491298585429734
4,1,2148,2148,2148,2148
4,2,3676204,2888580,1839176,1837028
4,3,4130876052,2716740324,690318160,686641956
4,4,4053208392700,2221863280884,169918087506,167852648406
4,5,3744965845584468,1693507330046148,31547022450292,30871484654672
4,6,3356089169733981724,1236792894212489460,4739734875813580,4583692050449312
4,7,2965626377089318210932,877259691030672704964,602532262797600560,574563670861462832
4,8,2613127446859803063396220,609039611989687810349364,66896156095101140549,62776866474773515023
5,1,6768,6768,6768,6768
5,2,34737956,28791336,17372362,17365594
5,3,112710050556,84085290696,18802379660,18767641704
5,4,317887036042052,212581195709736,13273486604313,13217131575651
5,5,839118105139697628,499116327473105448,7019174350741232,6966193149119260
5,6,2133099260463951756356,1120488324491642219976,2980157052511654420,2945193727687049832
5,7,5300883606548710679013276,2441640916186618910868936,1060679716372406152504,1042903796484796725700
5,8,12993391049327501886218339972,5210565714647033010643722216,325954967636346209346376,318592547712917137856409
6,1,17600,17600,17600,17600
6,2,227240104,194605960,113628852,113611252
6,3,1832422825544,1455066568736,305517430176,305290190072
6,4,12833950641705784,9403918834414216,535206153266908,534289941845336
6,5,83920711921226131400,56411735418242943200,700409296448370924,698270304485386540
6,6,527136580491922402387864,323482357611720999741640,733884003429031584720,730387305953716224080
6,7,3228593867240137065804727784,1800048451189650973659344096,642793339482338021431452,638400530901669571845960
6,8,19455510847883577728483302508344,9804725040345246151187064931336,484773843718172430783297004,480289677410268498897266068
7,1,40120,40120,40120,40120
7,2,1150885648,1013867664,575462884,575422764
7,3,20417231442376,17112870607912,3403447363260,3402296477612
7,4,314192027972642992,249304971024557616,13096439334220004,13086230718478756
7,5,4503858558827806336360,3369054682806331901320,37558343281401487456,37505977942446975584
7,6,61877140712493321225348688,43503586842404359288823184,86034340696933761690368,85846679910888500094828
7,7,826945431912154163263654366216,544907772092624654739058805992,164334452435184249612984472,163818809504274129638465740
7,8,10845415916099865390198688710184432,6678374723722067841732407750424816,269558291702936630428905657528,268409755942961265349889474740
8,1,82608,82608,82608,82608
8,2,4788100488,4303794584,2394091548,2394008940
8,3,170981082265560,148326501950040,28499241122040,28494453021552
8,4,5291960603614408440,4408907146474996616,220541105949066784,220455615407892700
8,5,152392694388186642522168,121533231910430804037048,1270380166490000607568,1269498173052074789088
8,6,4201689274055950031458402488,3200377815621748399131501704,5838855019898466935805764,5832505324192095982590496
8,7,112576918221677318664994814423160,81731408273567066454875589483960,22354202454175373070178242156,22319188375348084973843549332
8,8,2956966106787651960592891662086049720,2041890495069615178257281811330994376,73415665023326653672097705242920,73259308177647256441503000536820
